102-0,102-1,102-2,102-3,102-4,116-1,116-2,116-3,116-4,119-1,119-2,120-0,120-1,120-2,133-0,133-1,133-2,133-3,133-4,148-1,148-1.5,149-1,149-2,161-1,161-1.5,161-2,161-2.5,175-0,175-1,175-1.5,175-2,175-3,175-4,103-1,103-2,103-3,103-4,121-1,121-2,123-1,123-2,123-3,123-4,134-0,134-1,150-1,150-1.5,150-2,150-2.5,150-3,150-4,162-1,162-2,162-2.5,163-0,163-1,163-1.5,176-1,176-1.5,176-2,176-2.5,176-3,176-4,134-1a,134-1b,134-1c,134-1d,134-1e,105-1,105-2,105-3,124-0,124-1,124-2,124-3,124-4,136-1,136-2,138-0,138-1,138-2,138-3,138-4,151-0,151-1,151-2,151-2.5,151-3,151-3.5,151-4,165-1,165-1.5,165-2,165-2.5,165-3,165-3.5,106-1,106-2,106-3,106-4,126-0,126-1,126-2,126-3,126-4,139-0,139-1,139-2,139-3,139-4,140-1,140-2,140-3,140-4,152-1,152-1.5,152-2,152-2.5,152-4,167-1,167-2,167-2.5,167-3,167-4,108-0,108-1,109-0,109-1,109-2,109-3,109-4,127-0,127-1,127-2,127-3,127-4,142-1,142-2,142-3,142-4,143-0,143-1,153-1,153-2,153-2.5,153-3,153-3.5,153-4,168-0,168-1,168-1.5,168-2,168-2.5,168-3,168-4,114-0,114-1,114-2,114-3,114-4,129-1,129-2,129-3,129-4,130-0,130-1,144-0,144-1,144-2,144-3,144-4,155-0,155-1,155-1.5,155-2,155-3,155-4,169-0,169-1,169-1.5,169-2,169-2.5,169-3,169-4,115-0,115-1,115-2,115-3,115-4,115-5,115-6,115-7,115-8,131-1,131-2,131-3,131-4,145-0,145-1,145-1.5,145-2,145-2.5,145-3,145-4,158-1,158-1.5,158-2,170-0,170-1,170-1.5,170-2,170-3,170-3.5,170-4,145-1a,145-1b,145-1c,145-1d,145-1e,132-0,132-1,132-2,132-3,132-4,132-5,132-6,132-7,132-8,146-0,146-1,147-1,147-2,147-2.5,147-3,147-4,160-1,160-1.5,160-2,160-3,160-3.5,160-4,171-1,171-2,171-3,171-4,174-1,174-2,174-2.5,174-3,174-4
,"200,807","385,972","367,070","243,844","151,096","356,882","323,074","221,716","326,960","308,419","215,258","99,362","131,417","143,031","228,536","327,696","244,834","354,818","321,515","156,343",,"130,291","106,477","121,579","129,814","175,273","172,153",,,"276,485","269,226","231,708","118,363","191,098",,"158,575","166,246",,"171,081","208,351","259,324","281,871","559,015","270,117","233,861","310,898","457,104","258,967","613,874","460,249","273,057","235,750","154,330","196,583","205,067","345,970","123,584","185,913","147,713",,"129,432","276,105","272,632","260,514","281,072","258,451","234,142",,"66,135",,"167,663",,,"304,867","108,774","147,322","198,211","209,678","423,245","268,830","294,442","287,668","148,706","152,959","461,260","336,311","651,460","250,979","121,401",,,"75,140","215,495","340,642","343,312","230,808","552,752","200,317","378,384","142,889","128,259","295,424","107,151","138,466","362,116","370,578","323,962","204,767","227,412","174,469","259,934","315,286","387,298",,"122,243","163,186","322,454","512,853","165,073","224,095","244,589","894,557","458,616","533,371","250,017",,"181,446","571,266","545,091","499,979","259,610","148,780","446,824","166,493","273,868","194,335","390,635","293,140","245,355",,,"152,643","323,234","185,809",,"147,256","123,285","226,293","474,541","456,681","325,015","208,091","147,613","216,623",,"880,073","724,574","502,351","383,948",,"186,903","647,787","702,978",,"164,456","388,410","247,547","843,019","734,047","1,053,806","208,173","91,231","104,923","344,725","826,763","562,603","200,959","390,479","233,739","585,431","314,280","490,131","163,506","423,101",,"177,776","266,418","590,511","174,022","334,667","165,409","392,894","116,296","351,223","231,554","234,946","162,442","118,623","113,460","287,604",,,,"119,137","221,687","540,916","171,066",,,"114,044","190,928","168,886","489,207","84,082","118,716","141,403",,,"348,048","261,110","183,199","221,257","165,614","254,591","312,245","280,466","193,954",,,"220,042","136,582","236,672","181,291","150,323","114,996","152,064","256,046","677,535","649,359",,"201,429","209,974","166,913","560,359","276,779","184,971","234,279","151,626",
"1,795,557","3,345,442","3,554,128","3,205,374","4,689,380","665,125","404,907","293,282","156,897","910,451","803,401","159,788","286,424","429,196","1,664,348","332,503","1,244,456","2,103,595","1,116,736","736,492","1,371,550",,"143,851","612,959","381,613","212,966","1,555,623","628,570","215,843","266,864","209,524","586,480","504,696","812,215","161,346","565,018","207,682","1,282,698","1,206,429","1,666,613","1,304,080","883,503","1,293,956","4,106,043","965,792","591,018","617,726","1,994,089","732,245","1,758,745","1,834,424","420,417","2,921,409","5,784,873","1,663,321","562,122","2,125,563","994,995","536,855","1,287,082","1,008,411","468,381","3,244,311","394,730","758,083","704,248","601,388","599,983","746,421","1,556,615","848,495","2,683,763","710,075","410,454","2,893,940","4,006,088","1,752,472","2,375,805","347,381","845,968","492,688","351,564","807,422","2,280,942","270,852","843,419",,"1,318,493",,"925,605","716,427","134,746","437,773",,"309,814","2,990,181","451,593","896,493","1,350,586","3,417,048","634,633","270,196","560,216","86,736","564,180","4,482,584","665,393","1,092,287","782,241","690,162","302,396","606,649","747,449","2,541,344","117,662","179,217","731,114","1,306,684","1,242,534","116,504","125,464",,"139,534","166,771","2,010,987","666,873","341,295","1,870,971","1,208,648","2,536,472","4,136,234","1,212,524","141,314","165,244","196,449","155,279","141,119","651,576","103,631","98,517","1,033,800","669,429","727,847","499,312","183,326",,"156,864","87,723","2,586,657","2,275,254","251,330","2,707,320","272,818","1,306,948","1,686,994","247,427","795,097","730,222","466,041","736,492",,"80,235","110,308","119,173","1,553,971","952,966","809,552","779,492","975,562","647,663","497,979","4,114,814","1,381,433","1,739,001","4,160,609","1,006,052","838,801","985,828","293,139",,"1,841,268","1,700,643","430,691","244,839","871,649","146,289","568,948","352,090","306,366","504,320","2,434,480","448,100","273,114","2,229,605","324,359","205,598","442,258","746,152","59,585","248,476","958,554","187,153",,"113,722","1,093,903","496,108","1,042,811","1,494,852","872,038","74,078","1,203,911","1,567,696","4,117,062","265,227",,,,"77,937",,"2,529,551","2,664,701","4,989,558","2,057,688","570,623","1,851,788","1,465,422","2,274,950","1,700,299","1,172,936","1,064,092",,"213,362","205,800","174,107","154,025","749,774","635,173","462,978","1,712,571","1,598,919","2,277,159","715,322","3,229,430","792,378","1,467,663","1,568,127","427,886","144,117","3,262,287","239,530"
"4,529,441","1,050,326","2,213,753","2,834,004","9,081,291","14,235,432","7,985,808","7,535,722","10,057,595","1,202,920","1,169,151","8,981,795","2,214,680","18,882,486","614,757","1,114,643","1,641,834","1,508,863","832,127","5,519,421","2,455,098","57,374,708","4,503,823","2,170,173","2,368,002","12,594,104","8,200,091","34,286,100","57,930,004","15,683,503","1,571,298","1,882,776","527,129","4,704,700","756,842","1,154,803","3,299,395","1,974,639","1,171,089","936,662","911,489","687,425","473,846","545,158","1,588,304","17,617,054","49,674,032","2,694,802","6,575,006","2,281,828","2,258,859","529,396","1,479,644","576,750","2,125,869","2,118,094","5,633,906","4,280,368","12,404,580","3,858,095","5,498,121","4,632,206","340,542","1,480,048","1,615,166","1,875,379","2,015,307","1,899,590","1,929,243","20,049,952","17,032,116","2,126,828","8,188,506","8,605,362","596,133","4,542,231","30,663,848","21,461,330","2,496,126","1,974,426","416,470","343,933","838,425","1,135,498","395,973","1,336,971","356,931","1,157,780","1,063,573","1,252,050","32,515,822","11,080,300","7,041,904","6,421,364","30,970,782","67,412,168","21,618,760","6,643,839","2,220,653","618,105","9,849,286","3,000,402","7,701,258","1,376,700","3,247,602","633,240","12,565,260","13,938,555","1,855,202","2,393,285","1,939,016","611,888","1,927,631","1,588,446","19,766,950","18,190,748","1,245,503","2,531,433","2,337,652","15,356,081","19,124,440","15,343,535","1,809,362","19,189,048","1,444,465",,"574,340","1,844,107","1,090,190","856,433","1,787,664","1,524,395","3,035,513","2,309,740","2,101,518","493,815","11,417,386","12,121,014","8,576,004","405,564","773,280","3,050,624","2,583,118","2,111,470","3,510,232","942,124","1,083,470","2,338,554","5,345,572","573,551","1,674,244","615,547","560,740","992,940","228,124","586,708","20,164,094","1,148,619","600,583","312,856","12,148,865","839,543","313,715","590,625","1,291,519","17,806,816","281,014","6,094,257","494,467","299,859","1,035,153","1,074,735","2,223,244","3,375,464","2,801,692","243,291","249,117","36,845,956","2,232,129","1,989,835","16,719,515","37,951,912","997,407","2,845,592","6,973,047","15,255,312","695,167","626,922","501,749","555,333","287,692","665,701","416,379","5,309,248","5,012,730","11,972,029","8,725,800","3,463,245","4,031,845","241,299","1,807,662","2,930,982","7,390,602","2,262,899","15,063,558","1,327,086","2,360,555","3,850,715","683,364","557,609","12,990,247","13,334,849","17,159,692","4,806,528","4,191,828","4,135,752","4,438,256","5,100,116","4,085,799","1,288,169","17,468,280","3,212,644","821,931","492,592","665,908","1,658,405","8,036,488","2,748,865","6,042,379","806,556","9,304,927","11,547,140","18,172,736","12,306,047","6,907,677","2,298,533","4,955,339","8,866,101","9,806,476","9,036,463","2,646,122","6,022,723","10,260,162","2,184,167","1,365,907","5,667,726","11,114,680","2,079,641","3,570,367","4,856,957"
"1,823,825,152","138,307,696","245,334,960","11,014,190","243,781,360","3,737,626","149,354,976","99,492,264","331,627,808","7,124,378","121,187,992","111,600,432","90,791,032","35,407,156","93,355,760","7,750,390","14,900,697","9,333,429","7,014,812","12,829,985","579,063,424","197,930,096","29,396,658","36,066,484","74,442,256","174,647,584","388,003,904","1,451,001,600","116,411,512","174,322,048","39,867,600","104,418,304","68,229,568","159,049,600","128,086,360","30,561,072","1,371,819,520","322,449,536","350,381,984","4,622,072","14,401,798","11,086,637","5,879,924","10,037,260","257,654,432","1,444,434,816","1,409,076,224","394,710,688","875,665,664","360,022,080","343,424,352","6,816,643","129,551,080","22,206,234","25,021,686","60,247,984","1,925,728,512","206,450,016","116,295,432","119,375,608","82,356,144","358,570,560","84,852,984","151,737,616","426,010,400","265,717,264","278,638,720","355,524,160","7,119,527","140,855,952","145,294,880","412,266,272","22,728,018","89,671,264","269,979,392","203,920,080","137,444,080","165,982,976","971,227,904","209,356,992","23,009,382","69,254,296","142,729,952","49,407,988","67,639,728","47,959,884","122,464,184","52,368,304","75,386,464","189,137,616","240,645,088","264,406,752","343,711,296","285,383,584","541,572,096","1,266,736,640","33,401,540","47,527,792","31,974,382","37,158,228","1,144,371,584","266,303,584","370,725,280","325,950,112","347,966,848","81,011,984","231,079,104","411,441,120","259,942,128","515,319,296","11,201,318","63,110,492","334,960,352","412,025,248","120,130,872","107,107,200","137,654,992","299,948,640","18,373,708","79,268,752","112,794,736","104,302,696","210,480,480","625,734,144","212,398,912","7,855,558","523,126,272","15,637,530","8,942,095","9,612,630","35,421,208","408,109,440","59,865,840","109,116,024","11,277,120","32,723,242","271,784,672","405,492,608","560,391,744","372,488,160","43,345,508","282,327,392","167,320,480","294,768,096","256,865,808","548,549,696","302,441,632","136,557,408","630,678,336","727,911,616","144,392,448","279,031,232","305,486,144","459,522,144","211,163,136","1,101,932,928","16,982,602","50,046,660","128,451,560","49,708,408","85,029,424","379,852,896","180,489,040","411,413,600","311,417,472","9,744,058","95,554,312","111,293,672","689,756,608","94,839,416","501,213,856","15,869,111","34,732,340","4,882,480","10,394,744","18,313,070","4,096,710","93,062,528","142,199,776","469,228,128","567,288,448","596,597,440","205,855,392","639,375,680","1,467,422,592","113,977,440","304,932,416","36,976,608","328,033,600","213,200,784","58,256,544","204,371,168","326,376,928","110,131,352","152,396,128","77,763,640","233,531,712","150,011,744","11,692,064","5,550,001","26,565,388","15,272,024","26,992,532","22,716,056","78,389,800","104,131,792","129,400,328","569,050,112","56,736,976","56,134,060","138,541,664","320,655,200","224,778,976","392,137,568","10,562,360","10,516,483","10,671,836","10,141,680","10,531,193","74,117,984","810,753,920","10,212,974","11,947,862","22,590,322","17,668,208","22,583,104","185,571,088","24,502,868","1,371,248,128","410,003,424","302,149,536","615,644,352","397,609,216","344,227,616","487,310,624","32,960,272","19,913,726","115,351,008","27,503,268","7,795,977","467,102,144","105,216,752","18,366,014","226,465,056","10,280,436","386,102,304","315,607,072","396,153,760","279,087,104","357,460,000"
"1,170,460",,,,"1,875,228","169,452","77,443","136,610","296,199","205,969","567,797","346,117",,"188,940","432,433","315,214",,,"168,969",,"2,684,039","4,522,531","919,660","852,181","902,965","1,161,124","301,012","2,493,265","813,437","292,637","311,738","1,108,927","460,954",,"109,746",,"948,049","622,552","1,558,694","283,253",,,,"255,618","153,996","276,191","272,048","125,345","2,457,476",,"378,213","1,153,801","373,514",,"564,798","1,250,047","3,322,866",,,"345,161",,,,"396,094","444,069","512,587","404,738","481,383","543,017","658,577","1,012,757","1,200,221","715,125","494,176",,"574,707","292,139","558,318","878,436","300,718",,,,,,"163,031",,,,,,"151,659","750,810","1,077,211","1,310,483","493,325","303,953","497,631",,"300,866","4,907,580","174,845",,,,"1,075,053","315,089","1,048,503","445,124","481,066",,,"1,131,857","2,206,798",,,,,,"332,475","70,793","115,005","92,275","294,593","154,328",,"3,164,419","2,207,824","2,455,735",,"122,786","138,105","284,429","481,066","389,560","372,664","867,606","571,344","196,332","516,551","572,758","241,099","2,070,081","219,851","347,442","359,490","293,155","1,458,610","155,046","806,723","986,335","831,241","227,624","1,203,125",,"1,980,798","884,062","409,138","101,378","153,428","1,290,250","1,337,859","957,561","1,279,266",,,,"529,197","227,178","518,014","208,725",,"393,960","319,477","225,363","412,519",,,"146,129","305,819","1,694,472","614,687","561,337","1,355,831","16,612,648","2,109,338","295,928","537,717","976,925","2,388,028","242,019","473,485","253,417","1,037,914","591,278","515,289","714,609",,,,,,,,,"390,069",,,,,"291,820",,"599,288","628,347",,,,,,,"455,928",,,"60,452",,,"227,903",,"1,379,504","473,178",,"268,605",,"203,337",,"935,661","1,452,384","463,958","80,097",,"373,151",,"574,404","448,494","660,279","467,109","953,398",,"410,976","793,647"
"19,245,268","3,302,959","4,446,810","4,948,915","2,087,962","2,756,364","4,442,647","6,439,449","7,848,370","6,891,547","4,508,404","2,599,748","1,751,761","1,761,514",,,,,,,"539,493","1,496,591","2,400,529","2,942,728","3,114,356","1,821,132","3,933,550","152,886,240","2,301,525","3,472,325",,"654,469",,"3,306,780","1,684,813","1,937,671","2,037,400","5,322,435","2,697,003","1,508,751","3,276,833","2,492,473","3,945,482",,,"3,865,794","5,665,190","7,115,204","7,455,363","9,796,227","10,207,795","17,472,290","4,082,316","4,321,053","9,948,626","4,587,264","6,415,666","6,216,124","5,747,178","6,853,663","4,879,245","7,820,406",,,,,,,"7,759,846","5,709,199","4,683,432","25,259,326","4,157,314","8,199,319","6,986,406","13,974,873","14,535,869","14,900,656","238,637,536",,,,,"5,912,242","3,238,513","9,551,225","6,015,664","9,005,284","4,372,741","6,159,059","2,008,057","3,315,672","4,337,346","2,778,373","4,129,062","6,638,753","6,493,938","9,834,212","6,832,797","1,222,234","44,892,000","3,020,432","8,619,129","6,943,048","10,444,692","1,168,301","5,429,000","2,723,871","3,623,991","1,692,005","4,360,750","4,215,706","4,408,980","6,345,696","3,329,044","3,226,971","3,660,159",,,"24,952,472","2,448,503","3,062,109","11,157,872","34,166,452","1,437,596","40,580,684","2,863,476","6,146,395","3,289,980",,"394,745","18,115,710","6,331,816","1,306,707","20,553,122",,"11,307,817","32,601,578","20,817,648","25,229,060",,"2,891,736","6,238,437","6,648,386","6,615,652","1,824,223","7,620,187","7,855,918","11,608,379","7,545,913","5,636,904","8,322,362","3,125,023","7,647,400","10,169,587","3,559,768","20,926,628",,"3,327,139",,"2,892,132",,"4,813,780","3,553,944","11,731,329","11,246,202",,"3,956,735","332,938",,,"24,475,400","11,363,984","10,202,795","15,658,049","23,743,264",,"2,389,735","12,587,427","6,800,799","5,627,452","5,149,674","2,695,290",,"95,128,400","7,872,338",,,"402,876",,,,,"2,626,282","3,980,003","1,424,450","1,423,440","2,757,317","3,677,227","2,460,444","2,158,725",,,,"5,366,296","9,358,352","8,486,271","1,718,361","2,297,298","1,539,805","845,219","705,856","980,766","385,783","3,776,879","4,430,787","4,458,669","3,981,126","4,059,476","1,862,618","17,874,696",,"1,348,806","1,363,298","1,141,101","6,044,534","49,294,200","1,036,011","43,142,044",,"706,766","2,507,035",,,"677,637","2,920,792","3,524,260","14,177,339","875,154","2,254,955","1,397,532","43,834,368","30,640,358","54,016,992","51,832,464","7,024,388","6,850,731","4,756,327","3,693,666","3,352,004"
"9,402,460","371,105",,"175,401",,"156,689",,"212,192","512,121",,,"142,386","405,267","516,056",,,,,,,,"310,004",,,"238,531","160,137",,"16,123,163",,"355,523",,,,"2,095,780","299,525","174,396","2,577,512","472,578","4,207,158",,,,,,,"157,784","645,538",,,,,"217,559",,,"912,725",,"3,607,652","1,997,669","836,675","924,461","1,051,533",,,,,,,,,"425,758","241,483","1,290,432",,"2,189,529","550,447","716,999","1,478,327","1,199,359","294,523",,,,,,,,"315,310",,,"437,939","287,964","1,170,941",,,,,"614,213",,"147,443",,"4,769,533","703,211","206,995","924,215","334,847",,"141,860","135,085",,,"109,984",,,,,,,,,"4,979,393","85,167","293,607","757,445","987,688","229,105","1,969,622","2,546,589","837,038","467,027",,,"483,342","206,837",,"2,517,662",,,,"966,371",,"303,435","1,816,217",,,,,,"345,271",,"1,792,456","1,309,583","326,760","295,088","1,085,007",,"309,254","139,342",,,,"73,701",,,,"202,820",,,,,,,,,,,,,,"2,688,720","223,258",,,,,"6,753,479","241,225",,,,,,,,,,,,"173,910",,,,,,,,,,,,"134,755",,,,,,,,,,,"3,458,769",,,"127,840",,"472,578","7,003,888",,"5,158,892",,,,,,,,,,,,"354,666","3,457,824","1,198,078",,,,,,,
,"2,983,409","7,527,089","113,656","3,281,835",,,,,,,,,,,,"2,053,998","1,046,625","1,115,306",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18,769,440",,,,"2,169,531","738,631",,,,,,,,,,,,,,"738,104","663,336",,,,,,,,,,,,,,,,,,,,"4,017,552","826,792",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,782,648","710,824",,,"3,852,260","1,584,652","1,217,495",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"256,060,880","2,695,658","13,465,754","3,466,704","2,011,261","2,129,735","4,345,839","14,658,910","13,359,967","1,554,763","35,648,656","39,251,564","2,923,336","2,451,633","5,660,563","1,412,935","3,378,328","2,294,861","1,600,919","95,390,400","1,930,153","1,685,130","7,518,259","3,238,837","4,521,625","42,530,916","29,431,612","42,777,600","3,457,949","7,558,795","15,574,732","88,869,800","28,581,864","4,241,247","40,963,688","49,065,488","366,400,640","1,833,018","541,866,112","3,829,940","65,359,016","35,765,004","2,374,577","1,903,657","22,148,418","631,033","1,273,888","147,003,376","132,873,072","172,929,552","144,536,688","2,343,635","4,291,818","2,830,394","12,868,160","5,484,079","357,035,520","22,351,096","3,527,131","20,339,614","25,633,728","66,064,400","2,229,383","11,740,843","48,603,080","19,929,286","51,700,472","54,711,072","1,609,781","15,621,001","2,736,741","1,279,738,240","2,256,839","6,180,868","33,520,494","200,141,504","1,250,736","3,739,351","5,673,381","161,108,752","26,230,438","96,213,016","142,848,368","1,855,831","6,465,031","17,136,064","117,181,208","9,055,669","176,595,456","124,651,200","1,051,555","1,577,107","2,471,686","3,483,427","7,085,205","14,275,518","1,420,140","2,080,410","1,646,011","1,606,825","242,980,448","6,002,504","5,381,861","8,766,845","9,881,769","1,806,075","3,038,872","14,085,322","54,924,600","25,300,598","4,909,763","2,194,612","2,781,857","4,254,292","35,671,252","4,882,565","4,831,217","33,635,216","59,082,200","13,634,836","5,188,900","23,189,592","50,954,856","98,221,432","2,338,652","797,161","366,085,952","1,890,970","2,657,869","1,220,682","3,642,632","86,613,856","1,171,989","21,371,104","9,113,711","5,278,974","4,783,947","151,388,640","110,839,912","302,894,112","3,825,943","21,404,832","3,068,554","17,293,870","32,033,752","8,984,051","39,054,560","15,988,659","22,526,916","114,061,464","9,873,276","56,901,616","29,542,330","44,851,540","97,268,664","70,435,352","1,001,594","3,914,434","4,590,158","6,078,468","3,242,357","2,249,585","1,638,383","6,601,020","644,516","3,428,858","87,739,560","9,202,379","221,542,320","229,375,008","151,337,424","235,458,224","1,846,690","2,011,142","1,550,136","915,457","1,536,403","96,254,560","2,538,817","9,569,159","123,949,768","140,720,896","17,084,830","35,993,636","334,055,136","4,363,704","15,420,934","5,597,189","57,331,024","4,693,244","5,260,445","33,258,838","9,725,857","2,217,912","2,275,610","2,947,326","4,041,453","68,322,616","2,064,121","1,038,767","8,812,787","1,521,332","1,152,192","4,707,478","10,488,175","7,339,407","8,309,412",,"2,261,871","1,567,964","5,364,808","2,845,615","2,070,821","4,109,952","1,754,949","1,498,954","1,345,185","1,439,006","1,569,870","187,163,088","5,533,909","172,408,480","6,628,423","14,112,267","57,977,708","165,949,216","259,568,464","205,895,936","224,839,136","8,162,820","70,543,368","63,877,420","90,088,488","55,356,576","39,143,204","963,170","925,802","1,707,304","11,813,703","14,367,381","27,095,450","11,654,506","3,766,704","85,686,976","3,791,494","19,593,770","4,130,399","10,336,246","6,564,172","5,887,890"
"272,954,720","82,221,672","98,288,816","136,839,968","165,731,728","89,618,312","151,859,936","185,530,496","456,379,776","206,120,528","647,672,192","797,035,776","279,385,728","306,318,560","211,600,880","46,203,220","160,194,336","93,839,728","64,555,528","344,046,944","348,012,352","176,259,168","261,466,032","63,010,116","106,064,944","207,721,648","332,272,800","596,695,488","71,156,840","179,199,168","89,619,168","284,159,232","214,929,840","161,507,264","167,375,712","90,959,696","193,345,440","241,460,448","868,166,720","141,481,904","309,923,904","216,681,184","111,450,552","431,484,672","268,742,112","53,323,540","120,303,184","315,771,552","589,492,352","443,935,296","591,683,904","191,947,216","207,089,920","323,045,888","672,758,656","282,198,528","1,634,666,368","227,575,952","453,866,272","432,734,144","144,769,504","175,672,976","77,648,240","283,965,568","332,464,032","322,455,200","271,620,960","285,405,024","216,091,664","393,214,880","183,563,056","2,657,934,336","177,224,528","171,395,152","271,369,536","1,238,584,832","151,432,400","317,163,008","572,878,912","149,616,416","100,353,792","105,516,792","122,232,856","288,828,000","138,295,312","236,062,416","237,735,312","411,035,168","389,311,264","412,029,312","153,673,008","180,174,528","195,750,160","285,829,696","240,520,960","460,358,784","99,277,792","177,699,216","154,484,128","237,330,400","860,419,008","107,911,560","119,513,040","173,710,544","179,191,808","609,771,840","162,790,992","247,099,952","274,111,424","220,826,768","300,447,936","208,368,624","394,312,576","570,018,560","42,657,856","35,257,784","74,555,776","113,420,848","128,246,696","52,746,680","30,033,842","13,775,457","65,713,280","203,912,000","344,816,448","64,706,844","967,035,776","76,408,392","378,256,096","181,047,328","281,083,360","631,027,648","39,414,540","67,430,504","159,344,256","88,792,920","295,432,576","597,446,912","154,906,960","348,449,792","256,751,552","348,763,424","269,526,528","237,081,088","243,003,056","138,688,448","230,675,200","217,625,664","231,170,560","444,186,624","302,299,872","241,980,496","201,984,288","223,384,784","171,648,080","1,092,841,728","88,023,664","135,164,272","89,038,520","48,681,384","123,464,520","92,772,296","135,731,792","157,201,632","100,315,952","81,926,120","563,302,848","372,200,160","195,767,664","237,896,320","216,609,088","811,519,680","326,597,216","171,367,984","175,126,080","358,976,768","63,238,592","78,099,200","52,921,780","75,193,624","170,235,504","113,755,704","167,835,856","140,544,000","2,196,098,560","142,140,048","263,080,016","252,028,576","338,272,736","356,154,432","172,589,024","310,664,288","198,702,784","41,786,564","54,317,704","46,852,392","66,937,568","742,543,232","244,744,512","217,240,880","158,868,752","283,616,928","95,232,560","120,854,448","464,506,688","320,087,840","307,386,976","256,893,552","65,593,100","77,174,904","175,050,144","94,867,816","90,723,768","114,923,112","242,622,064","218,266,272","232,901,696","219,704,784","214,839,008","777,887,680","325,594,144","255,022,144","331,451,488","416,445,408","361,045,216","807,188,032","584,694,016","726,648,128","1,735,837,056","344,060,352","143,184,816","253,051,296","168,118,272","378,457,280","260,008,208","53,422,324","78,461,656","190,374,048","52,991,456","61,491,152","184,730,112","103,312,096","214,106,032","231,713,808","195,670,832","173,150,128","140,720,496","120,949,880","107,053,224","101,505,416"
,,"731,517",,,,,,,,"349,374",,,,,,,,,,,,"277,722",,,"2,283,950","162,805",,,,,,,,,,,"444,388","1,288,514",,,,,"167,423",,,,"110,880",,"226,494","88,739","55,251","1,488,899","94,513",,"259,925",,,,,,,,,,,,,,,,,,"2,274,556",,,,,"46,783",,"397,284","67,364",,,,,,,,,,,,,,,,,"1,250,530","297,521",,,,,,,"404,110",,"311,840","492,829",,"83,921",,"125,206",,,,,,,,,,,,"196,621",,"549,616","240,636","214,736","5,012,412",,,,,"205,723",,,,,,"1,479,029",,"756,610","288,353",,,,,,,,,,,,,,,"132,958",,,,,,,,"712,956","236,468","859,238","1,107,023",,,,,,,,,,,,,"642,226",,"750,458","140,918",,"185,301",,"303,899","227,264",,"133,608",,"5,020,038",,,,"149,886",,,"300,895","131,453",,"7,583,839","2,415,765",,,,,,,,,"77,788",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"154,793","286,890",,
,,,,,"50,989","222,277","661,682",,"302,917,856","251,535,920","51,100","501,749",,,,,,,,,,,,,,,,,,,,,,,,,,"51,991",,,"16,658",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,120,448","148,411,808","128,482,728","146,447,024","204,831,376",,,,"19,422",,,,,,,,,,,"330,866",,,,,,,,,,"67,303",,"363,093,920","309,037,632","320,752,832","201,199,264",,"505,568",,,,"150,018","298,190",,,,,,,,,"23,382,174","1,984,347,264","1,678,767,232","1,858,820,352","1,448,914,816","58,245","219,467",,,"661,682","245,605",,,,,,,,,,,,,,"68,499",,,"118,997",,"939,528","779,100","1,443,282",,"1,592,585",,"59,439",,,,,,,,,,,,,,"115,529",,,,"310,420",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"2,426,713","249,746",,,,,,,,,,,,,,,,,,,,,,,"4,490,497","10,352,203",,,,,,,,,,,,,"20,046",,,,,,"10,053,049","12,127,922","12,775,436","13,757,096","11,902,523",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,096,260","20,737,356",,"41,679,356","42,849,124","39,355,320",,,,,,,"1,251,056","4,627,656","9,872,894","2,978,298",,,,,,,,,"7,393,624","8,803,252","7,153,272","10,202,626","11,183,336","2,595,349","13,083,081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"303,375",,,"2,680,680","6,398,927",,"4,917,225",,,,,,"153,659,056","6,586,691","26,291,770","30,495,064","32,422,688","17,746,888","51,429,956","14,545,155","49,714,288",,,,,,,,,,,,,,"4,543,475","17,183,014","14,319,148","1,848,528",,,,,
,,,,,,,,,,,,,,,,,,,"245,782",,,,,,,,,,,,,,,,,,,,,,,,"385,571","759,191",,,,,,,,,,,,,,,,,,,"599,504","956,666","940,864","1,071,272","878,463",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"277,763","1,524,456",,"3,255,073","2,897,107","7,345,914",,,,,,,"94,443","212,461","1,584,060","176,678",,,,,,,,,"307,117","1,644,733","1,506,533","815,451","1,369,813","304,948","725,194",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"708,825","950,258",,"724,946",,,,,,"6,385,279","231,817","705,329","806,114","2,131,571","887,882","2,425,382","576,874","2,351,453",,,,,,,,,,,,,,"305,106","822,203","2,150,573","165,223",,,,,
